time, resource data ((Actor State Value)*), resource workload, temporal data ((Actor State Value)*), temporal workload, decision data ((Actor State Value)*), decision workload
83, ( VGUI DATA 1 ) ( OP VISUAL 2 ) ( VGUI DATA 3 ) ( OP VISUAL 4 ) ( VGUI DATA 5 ) ( OP VISUAL 6 ) ( VGUI DATA 7 ) ( OP VISUAL 8 ) , 8,, 0,( PARENT_SEARCH IDLE 0 ) ( MissionManager IDLE 0 ) ( OPERATOR OBSERVE_GUI 1 ) ( UAV_OGUI_WateredDown IDLE 4 ) ( VO_WateredDown IDLE 4 ) ( PARENT_SEARCH IDLE 4 ) ( MissionManager IDLE 4 ) ( OPERATOR OBSERVE_GUI 5 ) ( UAV_OGUI_WateredDown IDLE 8 ) ( VO_WateredDown IDLE 8 ) ( PARENT_SEARCH IDLE 8 ) ( MissionManager IDLE 8 ) ( OPERATOR OBSERVE_GUI 9 ) ( UAV_OGUI_WateredDown IDLE 12 ) ( VO_WateredDown IDLE 12 ) ( PARENT_SEARCH IDLE 12 ) ( MissionManager IDLE 12 ) ( OPERATOR OBSERVE_GUI 13 ) ( UAV_OGUI_WateredDown IDLE 16 ) ( VO_WateredDown IDLE 16 ) , 16
84, , 0,, 0,, 0
85, , 0,, 0,, 0
86, , 0,, 0,, 0
87, , 0,, 0,, 0
88, , 0,, 0,, 0
89, , 0,, 0,, 0
90, ( VGUI DATA 1 ) ( OP VISUAL 2 ) ( VGUI DATA 3 ) ( OP VISUAL 4 ) ( VGUI DATA 5 ) ( OP VISUAL 6 ) ( VGUI DATA 7 ) ( OP VISUAL 8 ) , 8,( OP VISUAL 10 ) ( VGUI DATA 20 ) ( OP VISUAL 30 ) ( VGUI DATA 40 ) ( OP VISUAL 50 ) ( VGUI DATA 60 ) ( OP VISUAL 70 ) ( VGUI DATA 80 ) , 80,( PARENT_SEARCH IDLE 0 ) ( MissionManager IDLE 0 ) ( OPERATOR OBSERVE_GUI 1 ) ( UAV_OGUI_WateredDown CRASHED 1 ) ( VO_WateredDown IDLE 2 ) ( PARENT_SEARCH IDLE 2 ) ( MissionManager IDLE 2 ) ( OPERATOR OBSERVE_GUI 3 ) ( UAV_OGUI_WateredDown CRASHED 3 ) ( VO_WateredDown IDLE 4 ) ( PARENT_SEARCH IDLE 4 ) ( MissionManager IDLE 4 ) ( OPERATOR OBSERVE_GUI 5 ) ( UAV_OGUI_WateredDown CRASHED 5 ) ( VO_WateredDown IDLE 6 ) ( PARENT_SEARCH IDLE 6 ) ( MissionManager IDLE 6 ) ( OPERATOR OBSERVE_GUI 7 ) ( UAV_OGUI_WateredDown CRASHED 7 ) ( VO_WateredDown IDLE 8 ) , 8
91, , 0,, 0,( PARENT_SEARCH IDLE 0 ) ( MissionManager IDLE 0 ) ( OPERATOR OBSERVE_GUI 1 ) ( UAV_OGUI_WateredDown CRASHED 1 ) ( VO_WateredDown CRASHED 1 ) ( PARENT_SEARCH IDLE 1 ) ( MissionManager IDLE 1 ) ( OPERATOR OBSERVE_GUI 2 ) ( UAV_OGUI_WateredDown CRASHED 2 ) ( VO_WateredDown CRASHED 2 ) ( PARENT_SEARCH IDLE 2 ) ( MissionManager IDLE 2 ) ( OPERATOR OBSERVE_GUI 3 ) ( UAV_OGUI_WateredDown CRASHED 3 ) ( VO_WateredDown CRASHED 3 ) ( PARENT_SEARCH IDLE 3 ) ( MissionManager IDLE 3 ) ( OPERATOR OBSERVE_GUI 4 ) ( UAV_OGUI_WateredDown CRASHED 4 ) ( VO_WateredDown CRASHED 4 ) , 4
92, , 0,, 0,, 0
